epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,556.39,1.09077,2.1258,1.44767,1.10564,0.61793,0.6017,0.59935,0.39183,0.52683,0.52037,0.50532,0.34199,1.87657,3.5365,2.53225,1.80639,0.00101202,0.00101202,0.00101202
47,569.637,1.06053,2.06948,1.38061,1.07324,0.5897,0.58897,0.58873,0.3697,0.536,0.52592,0.49498,0.33062,1.84395,3.7575,2.54881,1.78789,0.00100982,0.00100982,0.00100982
48,580.921,1.102,2.13309,1.45787,1.12185,0.5917,0.54763,0.56453,0.37553,0.50517,0.53439,0.49615,0.31618,1.75242,3.61834,2.74309,1.64417,0.00100762,0.00100762,0.00100762
49,593.811,1.05577,1.96508,1.38009,1.09002,0.69631,0.48926,0.53526,0.34725,0.66395,0.42618,0.45773,0.29547,1.86799,3.62934,2.81306,1.75999,0.00100542,0.00100542,0.00100542
50,605.909,1.10574,2.0916,1.42474,1.11296,0.5962,0.49683,0.50257,0.33897,0.58301,0.48425,0.4725,0.2868,1.85444,3.79851,2.76761,1.72164,0.00100322,0.00100322,0.00100322
51,618.229,1.07485,2.07089,1.40157,1.09034,0.59842,0.59472,0.58661,0.37306,0.53485,0.53519,0.51823,0.3275,1.77457,3.46867,2.50269,1.69916,0.00100102,0.00100102,0.00100102
52,633.945,1.11338,2.05683,1.42304,1.10089,0.56023,0.51317,0.54343,0.3667,0.58337,0.5169,0.52587,0.32593,1.80349,3.40524,2.43642,1.68903,0.000998821,0.000998821,0.000998821
53,648.321,1.07154,2.04272,1.327,1.08967,0.62091,0.50503,0.53309,0.35601,0.56419,0.46238,0.49729,0.31468,1.7961,3.58748,2.65114,1.65636,0.000996622,0.000996622,0.000996622
54,660.772,1.05406,1.98097,1.30175,1.06514,0.57271,0.61026,0.60029,0.40579,0.53418,0.55384,0.53723,0.35574,1.78959,3.5971,2.50487,1.7146,0.000994422,0.000994422,0.000994422
55,672.31,1.10514,2.0611,1.42058,1.10522,0.74872,0.46552,0.51806,0.32481,0.49466,0.44509,0.43164,0.27477,1.9224,3.76423,2.61502,1.85751,0.000992223,0.000992223,0.000992223
56,684.29,1.06225,1.99916,1.34071,1.06674,0.5181,0.59892,0.59562,0.3782,0.46321,0.52877,0.4943,0.31814,1.959,3.63,2.57026,1.81423,0.000990023,0.000990023,0.000990023
57,696.292,1.12127,2.04048,1.38795,1.10268,0.56278,0.55095,0.54616,0.32887,0.46026,0.46788,0.42659,0.27099,1.91065,3.9787,2.65773,1.83098,0.000987824,0.000987824,0.000987824
58,708.68,1.08803,2.0594,1.40114,1.09185,0.63596,0.54648,0.54211,0.34233,0.54298,0.48151,0.46053,0.30428,1.80001,3.29685,2.4604,1.7289,0.000985624,0.000985624,0.000985624
59,719.689,1.06691,2.0278,1.3278,1.08615,0.67526,0.56932,0.58088,0.37546,0.60581,0.52468,0.50055,0.33545,1.82912,3.53167,2.41977,1.74545,0.000983424,0.000983424,0.000983424
60,734.274,1.04408,2.06634,1.33891,1.07041,0.56998,0.49655,0.52742,0.34433,0.49797,0.44122,0.44022,0.27626,1.90298,3.76741,2.62492,1.76438,0.000981225,0.000981225,0.000981225
61,748.53,1.04312,1.95398,1.2555,1.06692,0.61023,0.6204,0.6105,0.39626,0.54546,0.55678,0.53455,0.33323,1.86866,3.51962,2.55229,1.73312,0.000979025,0.000979025,0.000979025
62,760.202,1.04979,1.96495,1.28843,1.0589,0.5829,0.54194,0.56373,0.37904,0.53835,0.52003,0.49216,0.31643,1.82491,3.74434,2.5598,1.74533,0.000976826,0.000976826,0.000976826
63,772.822,1.0285,1.91273,1.2775,1.05151,0.58014,0.5904,0.59146,0.36638,0.54649,0.50505,0.51699,0.3269,1.88267,3.41319,2.72293,1.76786,0.000974626,0.000974626,0.000974626
