epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,1052.8,0.84014,1.31148,1.08867,1.82651,0.85923,0.81447,0.87111,0.63664,0.86171,0.81433,0.86227,0.58583,0.94387,1.42059,1.13819,1.97084,0.000369224,0.000369224,0.000369224
41,1077.57,0.8465,1.3186,1.08657,1.82338,0.85192,0.81701,0.8766,0.64127,0.86524,0.80153,0.86509,0.5928,0.96099,1.42521,1.10211,1.97308,0.000368435,0.000368435,0.000368435
42,1102.79,0.84123,1.31606,1.07479,1.81659,0.85427,0.82858,0.87976,0.64333,0.85949,0.82013,0.86666,0.59628,0.96115,1.40692,1.10485,1.97777,0.000367646,0.000367646,0.000367646
43,1129.96,0.83599,1.29637,1.08151,1.82379,0.89008,0.7968,0.87658,0.6405,0.89236,0.79631,0.86578,0.59285,0.96316,1.45041,1.10836,1.97186,0.000366857,0.000366857,0.000366857
44,1155.48,0.84074,1.30736,1.07468,1.81893,0.87042,0.82422,0.87866,0.64408,0.87338,0.8219,0.86533,0.59105,0.94481,1.43314,1.08381,1.95242,0.000366068,0.000366068,0.000366068
45,1180.95,0.83026,1.30411,1.0693,1.81646,0.88395,0.80383,0.87391,0.63924,0.88444,0.80331,0.85842,0.58734,0.95728,1.45976,1.09627,1.95979,0.000365279,0.000365279,0.000365279
46,1205.75,0.83947,1.29177,1.05643,1.81405,0.88737,0.80463,0.88431,0.64734,0.88666,0.80511,0.86941,0.59652,0.94479,1.4494,1.06749,1.94664,0.00036449,0.00036449,0.00036449
47,1230.95,0.82018,1.28064,1.04629,1.8095,0.87735,0.81518,0.87985,0.6458,0.88874,0.80503,0.86636,0.58948,0.94294,1.43908,1.08785,1.96212,0.0003637,0.0003637,0.0003637
48,1258.25,0.82078,1.27428,1.03051,1.797,0.84512,0.81734,0.87507,0.64499,0.84653,0.80919,0.86227,0.59966,0.93968,1.42202,1.11813,1.9617,0.000362911,0.000362911,0.000362911
49,1283.8,0.82094,1.27294,1.04053,1.80917,0.87705,0.81955,0.87692,0.63997,0.87568,0.81761,0.86413,0.59081,0.9532,1.45522,1.08769,1.97725,0.000362122,0.000362122,0.000362122
50,1309.12,0.82174,1.27208,1.03585,1.80059,0.87372,0.81657,0.87761,0.64062,0.883,0.81113,0.86974,0.59557,0.94823,1.46833,1.08162,1.97323,0.000361333,0.000361333,0.000361333
51,1334.58,0.82007,1.26629,1.01988,1.79655,0.8713,0.82159,0.88308,0.64709,0.88268,0.81487,0.86849,0.5927,0.94957,1.44833,1.0807,1.97199,0.000360544,0.000360544,0.000360544
52,1360.51,0.81971,1.27105,1.02914,1.809,0.86098,0.82946,0.88428,0.64537,0.86553,0.83031,0.87606,0.60232,0.94888,1.45407,1.06531,1.9731,0.000359755,0.000359755,0.000359755
53,1386.52,0.81561,1.25127,1.02546,1.8016,0.86793,0.81788,0.87767,0.64257,0.86848,0.81176,0.86579,0.59191,0.96273,1.46227,1.08721,1.9814,0.000358966,0.000358966,0.000358966
54,1412.16,0.82183,1.27269,1.03357,1.80487,0.87088,0.82347,0.88331,0.64554,0.87339,0.82174,0.87281,0.59424,0.94904,1.47025,1.06598,1.95909,0.000358177,0.000358177,0.000358177
55,1436.95,0.80585,1.25323,1.00994,1.79316,0.86167,0.8251,0.88402,0.64953,0.8687,0.82059,0.87424,0.59896,0.93827,1.42422,1.04496,1.95568,0.000357388,0.000357388,0.000357388
56,1461.81,0.80541,1.26159,1.01148,1.7929,0.86888,0.81735,0.87158,0.63663,0.87987,0.81597,0.86529,0.59271,0.95367,1.44349,1.09093,1.98163,0.000356598,0.000356598,0.000356598
57,1489.02,0.79641,1.22903,0.98323,1.79057,0.85918,0.82052,0.87999,0.64114,0.85998,0.81458,0.86427,0.5906,0.96128,1.45051,1.07193,1.98937,0.000355809,0.000355809,0.000355809
58,1515.31,0.81073,1.26508,0.99648,1.79013,0.87785,0.82226,0.88559,0.64961,0.8789,0.81568,0.87162,0.60106,0.94592,1.42097,1.03865,1.98204,0.00035502,0.00035502,0.00035502
59,1540.95,0.80161,1.25007,0.99202,1.79304,0.85755,0.83211,0.87822,0.6416,0.85253,0.82623,0.86257,0.59016,0.96362,1.45666,1.07856,1.99256,0.000354231,0.000354231,0.000354231
60,1565.97,0.79755,1.24173,0.98248,1.78727,0.86118,0.82474,0.87448,0.63948,0.87019,0.81629,0.86534,0.58881,0.96474,1.4423,1.07444,2.00074,0.000353442,0.000353442,0.000353442
61,1591.28,0.80012,1.24344,0.97995,1.78561,0.86996,0.82506,0.8817,0.64803,0.87561,0.82052,0.8723,0.59864,0.93856,1.44164,1.06204,1.9751,0.000352653,0.000352653,0.000352653
62,1619.31,0.8091,1.25345,0.97829,1.78932,0.877,0.82694,0.8849,0.65093,0.88828,0.82326,0.87667,0.60328,0.94119,1.42992,1.03634,1.97424,0.000351864,0.000351864,0.000351864
63,1644.43,0.79428,1.22882,0.96312,1.78237,0.87584,0.82639,0.88286,0.64721,0.8869,0.82169,0.87618,0.60371,0.94456,1.43976,1.0327,1.97519,0.000351075,0.000351075,0.000351075
64,1669.8,0.79003,1.22721,0.95143,1.77389,0.85873,0.8224,0.87479,0.63868,0.86998,0.81375,0.86351,0.59151,0.95382,1.45605,1.07163,1.97817,0.000350285,0.000350285,0.000350285
65,1694.82,0.78149,1.20202,0.9436,1.77152,0.86577,0.83575,0.88773,0.65292,0.87417,0.83163,0.87541,0.60595,0.93594,1.4247,1.05256,1.96717,0.000349496,0.000349496,0.000349496
66,1720.84,0.79192,1.22072,0.95717,1.77891,0.86214,0.82192,0.87551,0.64622,0.87484,0.81418,0.86804,0.59604,0.93968,1.42491,1.08637,1.96405,0.000348707,0.000348707,0.000348707
67,1747.72,0.78597,1.20191,0.93908,1.76727,0.8763,0.81135,0.87402,0.6391,0.88028,0.81162,0.86708,0.59116,0.94809,1.46157,1.05465,1.98305,0.000347918,0.000347918,0.000347918
68,1772.91,0.79037,1.21948,0.9546,1.77625,0.87937,0.82679,0.88021,0.64641,0.8849,0.82145,0.86947,0.59853,0.95373,1.43855,1.04394,1.98734,0.000347129,0.000347129,0.000347129
69,1798.12,0.79006,1.23223,0.94476,1.77072,0.88987,0.81592,0.88424,0.65213,0.89169,0.81224,0.87439,0.60659,0.9426,1.43779,1.04398,1.95184,0.00034634,0.00034634,0.00034634
